Ulmus campestris
Upas antiaris
Upas tiente
Uranium nitricum
Urea
Uricum acidum
Urinum
Urotropin
Urtica urens
Usnea barbata
Ustilago maydis
Uva ursi
Vaccininum
Vaccinium myrtillus
Valeriana
Vanadium
Vanilla planifolia
Variolinum
Veratrinum
Veratrum album
Veratrum viride
Verbascum
Verbena
Veronal
Vespa crabro
Viburnum opulus
Viburnum prunifolium
Vinca minor
Viola odorata
Viola tricolor
Vipera
Viscum album
Vitex trifolia
Vitrum antimonii
Wyethia
X ray
Xanthium spinosum
Xanthorrhiza apifolia
Xanthorrhoea arborea
Xanthoxylum
Xerophyllum
Yohimbinum
Yucca filamentosa
Zea italica
Zincum aceticum
Zincum bromatum
Zincum carbonicum
Zincum cyanatum
Zincum metallicum
Zincum muriaticum
Zincum oxydatum
Zincum phosphoricum
Zincum picricum
Zincum sulphuricum
Zincum valerianum
Zingiber
